time,ch1,ch2,ch3,ch4
15.08.2017 19:54:38.505,4,-17,193,32
15.08.2017 19:54:38.755,5,1,-37,4
15.08.2017 19:54:39.005,5,17,-277,9
15.08.2017 19:54:39.255,-6,21,143,6
15.08.2017 19:54:39.505,-6,-19,5,25
15.08.2017 19:54:39.755,-14,-27,-290,27
15.08.2017 19:54:40.005,-20,5,113,57
15.08.2017 19:54:40.255,-28,-20,39,50
15.08.2017 19:54:40.505,-6,-31,-313,49
15.08.2017 19:54:40.861,-25,-14,37,33
15.08.2017 19:54:41.111,-20,-45,83,35
15.08.2017 19:54:41.361,-16,-23,-261,32
15.08.2017 19:54:41.611,-17,-10,-70,4
15.08.2017 19:54:41.861,-6,-18,157,24
15.08.2017 19:54:42.111,-6,7,-221,20
15.08.2017 19:54:42.361,-5,10,-101,42
15.08.2017 19:54:42.611,5,14,191,37
15.08.2017 19:54:42.861,5,-7,-179,26
15.08.2017 19:54:43.111,4,17,-167,32
15.08.2017 19:54:43.361,17,14,192,5
15.08.2017 19:54:43.611,15,-5,-121,19
15.08.2017 19:54:43.861,27,2,-231,5
15.08.2017 19:54:44.111,16,-1,186,29
15.08.2017 19:54:44.361,16,-16,-76,21
15.08.2017 19:54:44.611,5,-7,-270,24
15.08.2017 19:54:45.005,27,-17,-16,7
15.08.2017 19:54:45.255,5,-8,-302,3
15.08.2017 19:54:45.505,5,2,105,15
15.08.2017 19:54:45.755,-5,-21,47,29
15.08.2017 19:54:46.005,-5,-17,-307,48
15.08.2017 19:54:46.255,-22,28,87,71
15.08.2017 19:54:46.505,-16,1,112,62
15.08.2017 19:54:46.755,-5,3,-285,39
15.08.2017 19:54:47.005,-20,-41,-39,57
15.08.2017 19:54:47.255,-6,-9,149,38
15.08.2017 19:54:47.505,-16,1,-252,29
15.08.2017 19:54:47.755,-5,-14,-77,21
15.08.2017 19:54:48.005,-7,-30,165,23
15.08.2017 19:54:48.255,-6,-9,-203,14
15.08.2017 19:54:48.505,-6,4,-160,25
15.08.2017 19:54:49.009,-13,1,-211,-23
15.08.2017 19:54:49.259,5,-9,-203,14
15.08.2017 19:54:49.509,5,-7,178,2
15.08.2017 19:54:49.759,-5,-9,-125,-5
15.08.2017 19:54:50.009,5,-28,-232,21
15.08.2017 19:54:50.259,5,-9,159,14
15.08.2017 19:54:50.509,-6,-7,-62,25
15.08.2017 19:54:50.759,-5,4,-254,26
15.08.2017 19:54:51.009,15,-20,133,13
15.08.2017 19:54:51.259,5,3,-5,14
15.08.2017 19:54:51.509,16,-3,-278,19
15.08.2017 19:54:51.759,-5,-3,90,12
15.08.2017 19:54:52.009,4,5,77,44
15.08.2017 19:54:52.259,5,-3,-293,32
15.08.2017 19:54:52.509,5,-11,45,61
15.08.2017 19:54:52.865,-4,0,91,32
15.08.2017 19:54:53.115,-8,-18,-259,68
15.08.2017 19:54:53.365,-28,-8,-17,37
15.08.2017 19:54:53.615,5,-16,138,32
15.08.2017 19:54:53.865,-14,10,-242,43
15.08.2017 19:54:54.115,15,-9,-106,21
15.08.2017 19:54:54.365,5,0,186,51
15.08.2017 19:54:54.615,-6,-1,-190,52
15.08.2017 19:54:54.865,6,-3,-172,44
15.08.2017 19:54:55.115,-8,5,206,32
15.08.2017 19:54:55.365,5,1,-124,18
15.08.2017 19:54:55.615,5,-13,-234,6
15.08.2017 19:54:55.865,27,-9,184,-5
15.08.2017 19:54:56.115,5,-23,-68,3
15.08.2017 19:54:56.365,16,-4,-256,-4
15.08.2017 19:54:56.615,6,7,147,24
15.08.2017 19:54:57.009,4,0,-293,0
15.08.2017 19:54:57.259,5,0,109,5
15.08.2017 19:54:57.509,-6,-1,32,17
15.08.2017 19:54:57.759,-16,2,-295,17
15.08.2017 19:54:58.009,-18,-16,60,32
15.08.2017 19:54:58.259,-29,-23,99,41
15.08.2017 19:54:58.509,-6,-8,-269,49
15.08.2017 19:54:58.759,-14,1,-30,41
15.08.2017 19:54:59.009,-19,-37,153,65
15.08.2017 19:54:59.259,-14,8,-262,13
15.08.2017 19:54:59.509,-22,-44,-59,32
15.08.2017 19:54:59.759,-5,-9,163,28
15.08.2017 19:55:00.009,-7,6,-210,9
15.08.2017 19:55:00.259,5,-8,-170,37
15.08.2017 19:55:00.509,5,3,180,37
15.08.2017 19:55:00.755,-5,-14,-151,55
15.08.2017 19:55:01.005,4,5,-224,32
15.08.2017 19:55:01.255,5,5,198,23
15.08.2017 19:55:01.505,16,3,-83,38
15.08.2017 19:55:01.755,16,12,-252,6
15.08.2017 19:55:02.005,5,-22,180,1
15.08.2017 19:55:02.255,16,11,20,16
15.08.2017 19:55:02.505,16,12,-279,16
15.08.2017 19:55:02.755,16,4,106,26
15.08.2017 19:55:03.005,16,19,79,20
15.08.2017 19:55:03.255,27,13,-280,15
15.08.2017 19:55:03.505,5,18,14,9
15.08.2017 19:55:03.755,16,-14,142,12
15.08.2017 19:55:04.005,-8,-6,-294,20
15.08.2017 19:55:04.255,-14,5,-54,27
15.08.2017 19:55:04.505,4,-41,147,68
15.08.2017 19:55:04.864,-5,0,-216,41
15.08.2017 19:55:05.114,-20,-30,-143,81
15.08.2017 19:55:05.364,-18,-14,203,32
15.08.2017 19:55:05.614,-27,-12,-155,41
15.08.2017 19:55:05.864,-17,-18,-204,36
15.08.2017 19:55:06.114,-17,3,202,14
15.08.2017 19:55:06.364,-6,31,-110,8
15.08.2017 19:55:06.614,-17,4,-237,37
15.08.2017 19:55:06.864,-5,0,177,19
15.08.2017 19:55:07.114,-14,-33,-88,45
15.08.2017 19:55:07.364,-10,27,-264,22
15.08.2017 19:55:07.614,16,-2,144,-5
15.08.2017 19:55:07.864,5,-3,8,-2
15.08.2017 19:55:08.114,5,-23,-301,17
15.08.2017 19:55:08.364,5,3,114,3
15.08.2017 19:55:08.614,-6,-3,68,7
15.08.2017 19:55:08.759,6,16,-281,36
15.08.2017 19:55:09.009,15,-5,94,5
15.08.2017 19:55:09.259,5,-10,100,29
15.08.2017 19:55:09.509,16,14,-258,14
15.08.2017 19:55:09.759,-4,-23,-7,35
15.08.2017 19:55:10.009,-10,50,176,10
15.08.2017 19:55:10.259,5,-1,-234,17
15.08.2017 19:55:10.509,-5,1,-71,40
15.08.2017 19:55:10.759,5,7,172,44
15.08.2017 19:55:11.009,5,-9,-219,59
15.08.2017 19:55:11.259,-17,2,-149,50
15.08.2017 19:55:11.509,-6,3,213,49
15.08.2017 19:55:11.759,-5,5,-149,36
15.08.2017 19:55:12.009,5,-9,-196,24
15.08.2017 19:55:12.259,-6,14,203,26
15.08.2017 19:55:12.509,16,3,-94,37
15.08.2017 19:55:12.755,-14,-14,-230,68
15.08.2017 19:55:13.005,-10,51,236,34
15.08.2017 19:55:13.255,-5,8,-56,32
15.08.2017 19:55:13.505,5,-22,-268,27
15.08.2017 19:55:13.755,5,2,152,16
15.08.2017 19:55:14.005,15,-22,-13,-10
15.08.2017 19:55:14.255,5,-14,-311,-4
15.08.2017 19:55:14.505,-6,-9,83,-8
15.08.2017 19:55:15.005,3,-21,-325,7
15.08.2017 19:55:15.255,5,5,25,13
15.08.2017 19:55:15.505,16,15,134,13
15.08.2017 19:55:15.755,-6,14,-248,14
15.08.2017 19:55:16.005,-18,19,-43,20
15.08.2017 19:55:16.255,-17,-8,191,25
15.08.2017 19:55:16.505,-6,-2,-234,30
15.08.2017 19:55:17.005,-8,-34,213,60
15.08.2017 19:55:17.255,-17,-9,-181,38
15.08.2017 19:55:17.505,-23,10,-170,33
15.08.2017 19:55:17.755,-33,-30,190,42
15.08.2017 19:55:18.005,4,-14,-112,5
15.08.2017 19:55:18.255,5,1,-263,40
15.08.2017 19:55:18.505,-17,-8,168,25
15.08.2017 19:55:18.755,-5,2,-40,39
15.08.2017 19:55:19.005,-7,27,-276,46
15.08.2017 19:55:19.255,-7,23,160,62
15.08.2017 19:55:19.505,5,4,69,36
15.08.2017 19:55:19.755,17,4,-280,6
15.08.2017 19:55:20.005,15,9,95,29
15.08.2017 19:55:20.255,6,19,73,-8
15.08.2017 19:55:20.505,27,-20,-265,19
15.08.2017 19:55:20.731,6,18,27,12
15.08.2017 19:55:20.981,15,3,133,24
15.08.2017 19:55:21.231,27,14,-237,25
15.08.2017 19:55:21.481,16,9,-88,-5
15.08.2017 19:55:21.731,5,5,188,24
15.08.2017 19:55:21.981,-17,-10,-180,4
15.08.2017 19:55:22.231,5,6,-165,32
15.08.2017 19:55:22.481,-5,1,175,6
15.08.2017 19:55:22.731,-5,-1,-133,41
15.08.2017 19:55:22.981,-7,-13,-204,63
15.08.2017 19:55:23.231,-27,-12,179,53
15.08.2017 19:55:23.481,-28,-8,-84,37
15.08.2017 19:55:23.731,-27,-9,-253,40
15.08.2017 19:55:23.981,-7,-1,174,15
15.08.2017 19:55:24.231,-17,3,-28,25
15.08.2017 19:55:24.481,-6,-5,-311,21
15.08.2017 19:55:24.864,-14,-13,155,34
15.08.2017 19:55:25.114,-9,-4,-16,28
15.08.2017 19:55:25.364,-14,5,-270,16
15.08.2017 19:55:25.614,-8,-5,88,44
15.08.2017 19:55:25.864,5,3,66,5
15.08.2017 19:55:26.114,5,-11,-263,14
15.08.2017 19:55:26.364,-6,-14,46,-4
15.08.2017 19:55:26.614,5,10,104,-4
15.08.2017 19:55:26.864,5,5,-275,14
15.08.2017 19:55:27.114,15,0,23,26
15.08.2017 19:55:27.364,5,19,147,20
15.08.2017 19:55:27.614,16,-1,-240,31
15.08.2017 19:55:27.864,16,2,-61,17
15.08.2017 19:55:28.114,5,5,169,25
15.08.2017 19:55:28.364,-8,2,-234,12
15.08.2017 19:55:28.614,5,-23,-171,27
15.08.2017 19:55:28.755,27,22,188,21
15.08.2017 19:55:29.005,3,-60,-153,60
15.08.2017 19:55:29.255,-5,3,-221,39
15.08.2017 19:55:29.505,5,-10,195,50
15.08.2017 19:55:29.755,-26,2,-93,39
15.08.2017 19:55:30.005,5,-5,-243,32
15.08.2017 19:55:30.255,-6,14,170,26
15.08.2017 19:55:30.505,-6,14,-39,37
15.08.2017 19:55:30.755,-13,-22,-276,56
15.08.2017 19:55:31.005,-12,23,182,24
15.08.2017 19:55:31.255,-15,3,12,49
15.08.2017 19:55:31.505,5,-25,-311,42
15.08.2017 19:55:31.755,6,8,111,12
15.08.2017 19:55:32.005,4,-25,50,29
15.08.2017 19:55:32.255,16,-27,-266,-3
15.08.2017 19:55:32.505,-6,-12,-13,-6
15.08.2017 19:55:32.755,7,0,101,1
15.08.2017 19:55:33.005,4,-18,-271,-5
15.08.2017 19:55:33.255,5,3,-39,14
15.08.2017 19:55:33.505,5,29,171,9
15.08.2017 19:55:33.755,5,-20,-242,16
15.08.2017 19:55:34.005,-7,1,-104,14
15.08.2017 19:55:34.255,-5,-11,187,18
15.08.2017 19:55:34.505,-18,-13,-212,17
15.08.2017 19:55:34.755,-5,7,-150,13
15.08.2017 19:55:35.005,-8,-29,181,56
15.08.2017 19:55:35.255,-6,-14,-122,43
15.08.2017 19:55:35.505,-17,2,-236,50
15.08.2017 19:55:35.755,-23,20,193,43
15.08.2017 19:55:36.005,3,-46,-95,21
15.08.2017 19:55:36.255,5,31,-266,20
15.08.2017 19:55:36.505,5,-23,146,31
15.08.2017 19:55:36.985,4,41,-283,32
15.08.2017 19:55:37.235,-6,-19,137,49
15.08.2017 19:55:37.485,-6,4,37,48
15.08.2017 19:55:37.735,16,-16,-293,46
15.08.2017 19:55:37.985,5,-13,66,30
15.08.2017 19:55:38.235,5,3,93,14
15.08.2017 19:55:38.485,6,35,-260,5
15.08.2017 19:55:38.735,15,-30,-4,20
15.08.2017 19:55:38.985,4,17,171,-5
15.08.2017 19:55:39.235,16,-5,-213,23
15.08.2017 19:55:39.485,5,20,-88,19
15.08.2017 19:55:39.735,16,-7,181,26
15.08.2017 19:55:39.985,4,41,-190,8
15.08.2017 19:55:40.235,5,1,-146,6
15.08.2017 19:55:40.485,-6,-8,190,14
15.08.2017 19:55:40.758,16,-15,-171,2
15.08.2017 19:55:41.008,-8,-41,-213,44
15.08.2017 19:55:41.258,-13,5,172,28
15.08.2017 19:55:41.508,-33,-42,-157,56
15.08.2017 19:55:41.758,-16,-13,-240,54
15.08.2017 19:55:42.008,-19,-20,156,36
15.08.2017 19:55:42.258,-17,-19,-50,25
15.08.2017 19:55:42.508,-6,-19,-292,25
15.08.2017 19:55:42.758,-16,-13,115,32
15.08.2017 19:55:43.008,-32,29,55,32
15.08.2017 19:55:43.258,-17,-21,-302,39
15.08.2017 19:55:43.508,-5,0,49,30
