Latitude;Longitude;Year;Month;Day;Hour;Minute;Second;ValidityCode;Validity;CauseCode;Cause;EarthquakeMagnitude;Country;Location;MaxHeight;IidaMagnitude;Intensity;NumDeaths;DescDeaths
-3.8;128.3;1950;10;8;3;23;;2;questionable tsunami;1;Earthquake;7.6;INDONESIA;JAVA TRENCH. INDONESIA;2.8;1.5;1.5;;
19.5;-156;1951;8;21;10;57;;4;definite tsunami;1;Earthquake;6.9;USA;HAWAII;3.6;1.8;;;
-9.02;157.95;1951;12;22;;;;2;questionable tsunami;6;Volcano;;SOLOMON ISLANDS;KAVACHI;6;2.6;;;
42.15;143.85;1952;3;4;1;22;41;4;definite tsunami;1;Earthquake;8.1;JAPAN;SE. HOKKAIDO ISLAND;6.5;2.7;2;33;1
19.1;-155;1952;3;17;3;58;;4;definite tsunami;1;Earthquake;4.5;USA;HAWAII;1;;;;
43.1;-82.4;1952;5;6;;;;1;very doubtful tsunami;9;Meteorological;;USA;LAKE HURON. MI;1.52;;;;
52.75;159.5;1952;11;4;16;58;;4;definite tsunami;1;Earthquake;9;RUSSIA;KAMCHATKA;18;4.2;4;2236;3
50;156.5;1953;3;18;;;;3;probable tsunami;1;Earthquake;5.8;RUSSIA;N. KURIL ISLANDS;1.5;0.6;;;
-2.4;147.4;1953;6;27;;;;3;probable tsunami;6;Volcano;;PAPUA NEW GUINEA;BISMARCK SEA;1.4;0.5;1;;
-18.3;178.2;1953;9;14;0;26;36;4;definite tsunami;3;Earthquake and Landslide;6.8;FIJI;FIJI ISLANDS;3;1;1.5;;
34;141.7;1953;11;25;17;48;;4;definite tsunami;1;Earthquake;7.4;JAPAN;KASHIMA. JAPAN;3;1.6;1.5;;
41.7;-86.883;1954;6;26;;;;1;very doubtful tsunami;9;Meteorological;;USA;MICHIGAN CITY. IN (LAKE MICHIGAN);3;;;7;1
67.8;-32.283;1954;10;;;;;2;questionable tsunami;0;Unknown Cause;;GREENLAND;APUTITEQ POINT;18.28;4.2;;;
-30;-72;1955;4;19;20;24;;4;definite tsunami;1;Earthquake;7.1;CHILE;CENTRAL CHILE;1;;;3;1
39.5;23;1956;11;2;;;;3;probable tsunami;1;Earthquake;5.8;GREECE;THESSALONIKI (SALONICA). GREECE;1.2;0.3;3;;
51.292;-175.629;1957;3;9;14;22;31.9;4;definite tsunami;1;Earthquake;9.1;USA;ANDREANOF ISLANDS. AK;15.24;3.9;3.5;;
-1.5;137;1957;6;22;23;50;23;3;probable tsunami;1;Earthquake;7.5;INDONESIA;NW. IRIAN JAYA;1.8;0.8;;;
16.5;-99;1957;7;28;8;40;;4;definite tsunami;1;Earthquake;7.9;MEXICO;S. MEXICO;2.5;1.3;1.5;;
1.2;-79.5;1958;1;19;14;7;;4;definite tsunami;1;Earthquake;7.5;ECUADOR;COLOMBIA-ECUADOR;1;;1.5;;
-4.5;104;1958;4;22;;;;2;questionable tsunami;1;Earthquake;6.5;INDONESIA;SW. SUMATRA;1;;;;
58.34;-136.52;1958;7;10;6;15;53.6;4;definite tsunami;3;Earthquake and Landslide;8.3;USA;SE. ALASKA. AK;524.26;4.6;5;5;1
44.53;148.54;1958;11;6;22;58;8.6;4;definite tsunami;1;Earthquake;8.3;RUSSIA;S. KURIL ISLANDS;5;2;2.5;;
44.2;148.8;1958;11;12;20;23;;2;questionable tsunami;1;Earthquake;7;RUSSIA;S. KURIL ISLANDS;1;;-1;;
53.4;159.8;1959;5;4;7;16;;4;definite tsunami;1;Earthquake;8.2;RUSSIA;KAMCHATKA;2;1;1;;
-7.5;156;1959;8;17;21;4;40;4;definite tsunami;0;Unknown Cause;7.3;SOLOMON ISLANDS;SOLOMON ISLANDS;2.4;1.3;;;
44.712;-111.215;1959;8;18;6;37;13.5;4;definite tsunami;3;Earthquake and Landslide;7.5;USA;HEGBEN LAKE. MONTANA;1;;;;
-15.75;-72.75;1960;1;13;15;40;34;4;definite tsunami;1;Earthquake;7.8;PERU;AREQUIPA;5.7;2.6;3;;
39.8;143.4;1960;3;20;17;7;;4;definite tsunami;1;Earthquake;7.7;JAPAN;SANRIKU;1;;-2;;
